Emittance (um),Beam Radius (um),Beam Radius Fraction
10.9037,26.8798,2.0
10.9037,40.3198,3.0
10.9037,53.7597,4.0
10.9037,67.1996,5.0
11.206,6.8125,0.5
11.206,13.625,1.0
11.206,27.25,2.0
11.206,40.875,3.0
11.206,54.5,4.0
11.206,68.125,5.0
11.5168,6.9063,0.5
11.5168,13.8126,1.0
11.5168,27.6253,2.0
11.5168,41.4379,3.0
11.5168,55.2505,4.0
11.5168,69.0632,5.0
11.8362,7.0014,0.5
11.8362,14.0028,1.0
11.8362,28.0057,2.0
11.8362,42.0085,3.0
11.8362,56.0114,4.0
11.8362,70.0142,5.0
12.1644,7.0978,0.5
12.1644,14.1957,1.0
12.1644,28.3914,2.0
12.1644,42.587,3.0
12.1644,56.7827,4.0
12.1644,70.9784,5.0
12.5017,7.1956,0.5
12.5017,14.3912,1.0
12.5017,28.7823,2.0
12.5017,43.1735,3.0
12.5017,57.5647,4.0
12.5017,71.9558,5.0
12.8484,7.2947,0.5
12.8484,14.5893,1.0
12.8484,29.1787,2.0
12.8484,43.768,3.0
12.8484,58.3574,4.0
12.8484,72.9467,5.0
13.2047,7.3951,0.5
13.2047,14.7903,1.0
13.2047,29.5805,2.0
13.2047,44.3708,3.0
13.2047,59.161,4.0
13.2047,73.9513,5.0
13.5709,7.497,0.5
13.5709,14.9939,1.0
13.5709,29.9879,2.0
13.5709,44.9818,3.0
13.5709,59.9757,4.0
13.5709,74.9697,5.0
13.9473,7.6002,0.5
13.9473,15.2004,1.0
13.9473,30.4008,2.0
13.9473,45.6012,3.0
13.9473,60.8017,4.0
13.9473,76.0021,5.0
14.3341,7.7049,0.5
14.3341,15.4097,1.0
14.3341,30.8195,2.0
14.3341,46.2292,3.0
14.3341,61.639,4.0
14.3341,77.0487,5.0
14.7316,7.811,0.5
14.7316,15.6219,1.0
14.7316,31.2439,2.0
14.7316,46.8658,3.0
14.7316,62.4878,4.0
14.7316,78.1097,5.0
15.1401,7.9185,0.5
15.1401,15.8371,1.0
15.1401,31.6742,2.0
15.1401,47.5112,3.0
15.1401,63.3483,4.0
15.1401,79.1854,5.0
15.56,8.0276,0.5
15.56,16.0552,1.0
15.56,32.1103,2.0
15.56,48.1655,3.0
15.56,64.2207,4.0
15.56,80.2758,5.0
15.9915,8.1381,0.5
15.9915,16.2763,1.0
15.9915,32.5525,2.0
15.9915,48.8288,3.0
15.9915,65.1051,4.0
15.9915,81.3813,5.0
16.4349,8.2502,0.5
16.4349,16.5004,1.0
16.4349,33.0008,2.0
16.4349,49.5012,3.0
16.4349,66.0016,4.0
16.4349,82.502,5.0
16.8907,8.3638,0.5
16.8907,16.7276,1.0
16.8907,33.4553,2.0
16.8907,50.1829,3.0
16.8907,66.9105,4.0
16.8907,83.6382,5.0
17.3591,8.479,0.5
17.3591,16.958,1.0
17.3591,33.916,2.0
17.3591,50.874,3.0
17.3591,67.8319,4.0
17.3591,84.7899,5.0
17.8405,8.5958,0.5
17.8405,17.1915,1.0
17.8405,34.383,2.0
17.8405,51.5745,3.0
17.8405,68.7661,4.0
17.8405,85.9576,5.0
18.3352,8.7141,0.5
18.3352,17.4283,1.0
18.3352,34.8565,2.0
18.3352,52.2848,3.0
18.3352,69.713,4.0
18.3352,87.1413,5.0
18.8437,8.8341,0.5
18.8437,17.6683,1.0
18.8437,35.3365,2.0
18.8437,53.0048,3.0
18.8437,70.673,4.0
18.8437,88.3413,5.0
19.3663,8.9558,0.5
19.3663,17.9116,1.0
19.3663,35.8231,2.0
19.3663,53.7347,3.0
19.3663,71.6463,4.0
19.3663,89.5579,5.0
19.9033,9.0791,0.5
19.9033,18.1582,1.0
19.9033,36.3165,2.0
19.9033,54.4747,3.0
19.9033,72.6329,4.0
19.9033,90.7912,5.0
20.4553,9.2041,0.5
20.4553,18.4083,1.0
20.4553,36.8166,2.0
20.4553,55.2249,3.0
20.4553,73.6332,4.0
20.4553,92.0414,5.0
21.0225,9.3309,0.5
21.0225,18.6618,1.0
21.0225,37.3236,2.0
21.0225,55.9854,3.0
21.0225,74.6472,4.0
21.0225,93.3089,5.0
21.6055,9.4594,0.5
21.6055,18.9188,1.0
21.6055,37.8376,2.0
21.6055,56.7563,3.0
21.6055,75.6751,4.0
21.6055,94.5939,5.0
22.2047,9.5897,0.5
22.2047,19.1793,1.0
22.2047,38.3586,2.0
22.2047,57.5379,3.0
22.2047,76.7172,4.0
22.2047,95.8965,5.0
22.8204,9.7217,0.5
22.8204,19.4434,1.0
22.8204,38.8869,2.0
22.8204,58.3303,3.0
22.8204,77.7737,4.0
22.8204,97.2171,5.0
23.4533,9.8556,0.5
23.4533,19.7112,1.0
23.4533,39.4224,2.0
23.4533,59.1335,3.0
23.4533,78.8447,4.0
23.4533,98.5559,5.0
24.1037,9.9913,0.5
24.1037,19.9826,1.0
24.1037,39.9652,2.0
24.1037,59.9479,3.0
24.1037,79.9305,4.0
24.1037,99.9131,5.0
24.7721,10.1289,0.5
24.7721,20.2578,1.0
24.7721,40.5156,2.0
24.7721,60.7734,3.0
24.7721,81.0312,4.0
24.7721,101.289,5.0
25.4591,10.2684,0.5
25.4591,20.5368,1.0
25.4591,41.0735,2.0
25.4591,61.6103,3.0
25.4591,82.1471,4.0
25.4591,102.6839,5.0
26.1651,10.4098,0.5
26.1651,20.8196,1.0
26.1651,41.6392,2.0
26.1651,62.4588,3.0
26.1651,83.2783,4.0
26.1651,104.0979,5.0
26.8907,10.5531,0.5
26.8907,21.1063,1.0
26.8907,42.2126,2.0
26.8907,63.3189,3.0
26.8907,84.4252,4.0
26.8907,105.5315,5.0
27.6364,10.6985,0.5
27.6364,21.3969,1.0
27.6364,42.7939,2.0
27.6364,64.1908,3.0
27.6364,85.5878,4.0
27.6364,106.9847,5.0
