Emittance (um),Beam Radius (um),Beam Radius Fraction
7.8947,45.7446,4.0
7.8947,57.1807,5.0
7.9649,5.7434,0.5
7.9649,11.4869,1.0
7.9649,22.9737,2.0
7.9649,34.4606,3.0
7.9649,45.9474,4.0
7.9649,57.4343,5.0
8.0351,5.7687,0.5
8.0351,11.5373,1.0
8.0351,23.0747,2.0
8.0351,34.612,3.0
8.0351,46.1494,4.0
8.0351,57.6867,5.0
8.1053,5.7938,0.5
8.1053,11.5876,1.0
8.1053,23.1752,2.0
8.1053,34.7629,3.0
8.1053,46.3505,4.0
8.1053,57.9381,5.0
8.1754,5.8188,0.5
8.1754,11.6377,1.0
8.1754,23.2754,2.0
8.1754,34.913,3.0
8.1754,46.5507,4.0
8.1754,58.1884,5.0
8.2456,5.8438,0.5
8.2456,11.6875,1.0
8.2456,23.375,2.0
8.2456,35.0626,3.0
8.2456,46.7501,4.0
8.2456,58.4376,5.0
8.3158,5.8686,0.5
8.3158,11.7371,1.0
8.3158,23.4743,2.0
8.3158,35.2114,3.0
8.3158,46.9486,4.0
8.3158,58.6857,5.0
8.386,5.8933,0.5
8.386,11.7866,1.0
8.386,23.5731,2.0
8.386,35.3597,3.0
8.386,47.1463,4.0
8.386,58.9328,5.0
8.4561,5.9179,0.5
8.4561,11.8358,1.0
8.4561,23.6716,2.0
8.4561,35.5073,3.0
8.4561,47.3431,4.0
8.4561,59.1789,5.0
8.5263,5.9424,0.5
8.5263,11.8848,1.0
8.5263,23.7696,2.0
8.5263,35.6544,3.0
8.5263,47.5392,4.0
8.5263,59.4239,5.0
8.5965,5.9668,0.5
8.5965,11.9336,1.0
8.5965,23.8672,2.0
8.5965,35.8008,3.0
8.5965,47.7344,4.0
8.5965,59.668,5.0
8.6667,5.9911,0.5
8.6667,11.9822,1.0
8.6667,23.9644,2.0
8.6667,35.9466,3.0
8.6667,47.9288,4.0
8.6667,59.911,5.0
8.7368,6.0153,0.5
8.7368,12.0306,1.0
8.7368,24.0612,2.0
8.7368,36.0919,3.0
8.7368,48.1225,4.0
8.7368,60.1531,5.0
8.807,6.0394,0.5
8.807,12.0788,1.0
8.807,24.1577,2.0
8.807,36.2365,3.0
8.807,48.3154,4.0
8.807,60.3942,5.0
8.8772,6.0634,0.5
8.8772,12.1269,1.0
8.8772,24.2537,2.0
8.8772,36.3806,3.0
8.8772,48.5075,4.0
8.8772,60.6343,5.0
8.9474,6.0874,0.5
8.9474,12.1747,1.0
8.9474,24.3494,2.0
8.9474,36.5241,3.0
8.9474,48.6988,4.0
8.9474,60.8735,5.0
9.0175,6.1112,0.5
9.0175,12.2224,1.0
9.0175,24.4447,2.0
9.0175,36.6671,3.0
9.0175,48.8894,4.0
9.0175,61.1118,5.0
9.0877,6.1349,0.5
9.0877,12.2698,1.0
9.0877,24.5396,2.0
9.0877,36.8095,3.0
9.0877,49.0793,4.0
9.0877,61.3491,5.0
9.1579,6.1586,0.5
9.1579,12.3171,1.0
9.1579,24.6342,2.0
9.1579,36.9513,3.0
9.1579,49.2684,4.0
9.1579,61.5855,5.0
9.2281,6.1821,0.5
9.2281,12.3642,1.0
9.2281,24.7284,2.0
9.2281,37.0926,3.0
9.2281,49.4568,4.0
9.2281,61.821,5.0
9.2982,6.2056,0.5
9.2982,12.4111,1.0
9.2982,24.8223,2.0
9.2982,37.2334,3.0
9.2982,49.6445,4.0
9.2982,62.0556,5.0
9.3684,6.2289,0.5
9.3684,12.4579,1.0
9.3684,24.9157,2.0
9.3684,37.3736,3.0
9.3684,49.8315,4.0
9.3684,62.2894,5.0
9.4386,6.2522,0.5
9.4386,12.5044,1.0
9.4386,25.0089,2.0
9.4386,37.5133,3.0
9.4386,50.0178,4.0
9.4386,62.5222,5.0
9.5088,6.2754,0.5
9.5088,12.5508,1.0
9.5088,25.1017,2.0
9.5088,37.6525,3.0
9.5088,50.2034,4.0
9.5088,62.7542,5.0
9.5789,6.2985,0.5
9.5789,12.5971,1.0
9.5789,25.1941,2.0
9.5789,37.7912,3.0
9.5789,50.3883,4.0
9.5789,62.9854,5.0
9.6491,6.3216,0.5
9.6491,12.6431,1.0
9.6491,25.2863,2.0
9.6491,37.9294,3.0
9.6491,50.5725,4.0
9.6491,63.2157,5.0
9.7193,6.3445,0.5
9.7193,12.689,1.0
9.7193,25.378,2.0
9.7193,38.0671,3.0
9.7193,50.7561,4.0
9.7193,63.4451,5.0
9.7895,6.3674,0.5
9.7895,12.7347,1.0
9.7895,25.4695,2.0
9.7895,38.2042,3.0
9.7895,50.939,4.0
9.7895,63.6737,5.0
9.8596,6.3902,0.5
9.8596,12.7803,1.0
9.8596,25.5606,2.0
9.8596,38.3409,3.0
9.8596,51.1212,4.0
9.8596,63.9016,5.0
9.9298,6.4129,0.5
9.9298,12.8257,1.0
9.9298,25.6514,2.0
9.9298,38.4771,3.0
9.9298,51.3029,4.0
9.9298,64.1286,5.0
10.0,6.4355,0.5
10.0,12.871,1.0
10.0,25.7419,2.0
10.0,38.6129,3.0
10.0,51.4838,4.0
10.0,64.3548,5.0
10.0702,6.458,0.5
10.0702,12.916,1.0
10.0702,25.8321,2.0
10.0702,38.7481,3.0
10.0702,51.6641,4.0
10.0702,64.5802,5.0
10.1404,6.4805,0.5
10.1404,12.961,1.0
10.1404,25.9219,2.0
10.1404,38.8829,3.0
10.1404,51.8438,4.0
10.1404,64.8048,5.0
10.2105,6.5029,0.5
10.2105,13.0057,1.0
10.2105,26.0115,2.0
10.2105,39.0172,3.0
10.2105,52.0229,4.0
10.2105,65.0287,5.0
10.2807,6.5252,0.5
10.2807,13.0503,1.0
10.2807,26.1007,2.0
10.2807,39.151,3.0
10.2807,52.2014,4.0
10.2807,65.2517,5.0
10.3509,6.5474,0.5
10.3509,13.0948,1.0
10.3509,26.1896,2.0
10.3509,39.2844,3.0
10.3509,52.3793,4.0
10.3509,65.4741,5.0
10.4211,6.5696,0.5
10.4211,13.1391,1.0
10.4211,26.2783,2.0
10.4211,39.4174,3.0
10.4211,52.5565,4.0
10.4211,65.6956,5.0
10.4912,6.5916,0.5
10.4912,13.1833,1.0
10.4912,26.3666,2.0
10.4912,39.5499,3.0
10.4912,52.7332,4.0
10.4912,65.9165,5.0
10.5614,6.6137,0.5
