Emittance (um),Beam Radius (um),Beam Radius Fraction
17.1912,16.8758,1
17.2192,16.8895,1
17.2472,16.9033,1
17.2753,16.917,1
17.3033,16.9307,1
17.3313,16.9444,1
17.3594,16.9581,1
17.3874,16.9718,1
17.4154,16.9855,1
17.4434,16.9991,1
17.4715,17.0128,1
17.4995,17.0264,1
17.5275,17.0401,1
17.5556,17.0537,1
17.5836,17.0673,1
17.6116,17.0809,1
17.6396,17.0945,1
17.6677,17.108,1
17.6957,17.1216,1
17.7237,17.1352,1
17.7518,17.1487,1
17.7798,17.1622,1
17.8078,17.1758,1
17.8358,17.1893,1
17.8639,17.2028,1
17.8919,17.2163,1
17.9199,17.2297,1
17.9479,17.2432,1
17.976,17.2567,1
18.004,17.2701,1
18.032,17.2836,1
18.0601,17.297,1
18.0881,17.3104,1
18.1161,17.3238,1
18.1441,17.3372,1
18.1722,17.3506,1
18.2002,17.364,1
18.2282,17.3773,1
18.2563,17.3907,1
18.2843,17.404,1
18.3123,17.4174,1
18.3403,17.4307,1
18.3684,17.444,1
18.3964,17.4573,1
18.4244,17.4706,1
18.4525,17.4839,1
18.4805,17.4972,1
18.5085,17.5104,1
18.5365,17.5237,1
18.5646,17.5369,1
18.5926,17.5501,1
18.6206,17.5634,1
18.6486,17.5766,1
18.6767,17.5898,1
18.7047,17.603,1
18.7327,17.6162,1
18.7608,17.6293,1
18.7888,17.6425,1
18.8168,17.6557,1
18.8448,17.6688,1
18.8729,17.6819,1
18.9009,17.6951,1
18.9289,17.7082,1
18.957,17.7213,1
18.985,17.7344,1
19.013,17.7475,1
19.041,17.7605,1
19.0691,17.7736,1
19.0971,17.7867,1
19.1251,17.7997,1
19.1532,17.8127,1
19.1812,17.8258,1
19.2092,17.8388,1
19.2372,17.8518,1
19.2653,17.8648,1
19.2933,17.8778,1
19.3213,17.8908,1
19.3493,17.9037,1
19.3774,17.9167,1
19.4054,17.9297,1
19.4334,17.9426,1
19.4615,17.9555,1
19.4895,17.9685,1
19.5175,17.9814,1
19.5455,17.9943,1
19.5736,18.0072,1
19.6016,18.0201,1
19.6296,18.033,1
19.6577,18.0458,1
19.6857,18.0587,1
19.7137,18.0715,1
19.7417,18.0844,1
19.7698,18.0972,1
19.7978,18.11,1
19.8258,18.1228,1
19.8539,18.1357,1
19.8819,18.1484,1
19.9099,18.1612,1
19.9379,18.174,1
19.966,18.1868,1
19.994,18.1995,1
20.022,18.2123,1
20.0501,18.225,1
20.0781,18.2378,1
20.1061,18.2505,1
20.1341,18.2632,1
20.1622,18.2759,1
20.1902,18.2886,1
20.2182,18.3013,1
20.2462,18.314,1
20.2743,18.3267,1
20.3023,18.3393,1
20.3303,18.352,1
20.3584,18.3646,1
20.3864,18.3773,1
20.4144,18.3899,1
20.4424,18.4025,1
20.4705,18.4151,1
20.4985,18.4277,1
20.5265,18.4403,1
20.5546,18.4529,1
20.5826,18.4655,1
20.6106,18.4781,1
20.6386,18.4906,1
20.6667,18.5032,1
20.6947,18.5157,1
20.7227,18.5282,1
20.7508,18.5408,1
20.7788,18.5533,1
20.8068,18.5658,1
20.8348,18.5783,1
20.8629,18.5908,1
20.8909,18.6033,1
20.9189,18.6157,1
20.9469,18.6282,1
20.975,18.6407,1
21.003,18.6531,1
21.031,18.6656,1
21.0591,18.678,1
21.0871,18.6904,1
21.1151,18.7028,1
21.1431,18.7152,1
21.1712,18.7276,1
21.1992,18.74,1
21.2272,18.7524,1
21.2553,18.7648,1
21.2833,18.7772,1
21.3113,18.7895,1
21.3393,18.8019,1
21.3674,18.8142,1
21.3954,18.8266,1
21.4234,18.8389,1
21.4515,18.8512,1
21.4795,18.8635,1
21.5075,18.8758,1
21.5355,18.8881,1
21.5636,18.9004,1
21.5916,18.9127,1
21.6196,18.925,1
21.6476,18.9372,1
21.6757,18.9495,1
21.7037,18.9617,1
21.7317,18.974,1
21.7598,18.9862,1
21.7878,18.9984,1
21.8158,19.0106,1
21.8438,19.0228,1
21.8719,19.035,1
21.8999,19.0472,1
21.9279,19.0594,1
21.956,19.0716,1
21.984,19.0838,1
22.012,19.0959,1
22.04,19.1081,1
22.0681,19.1202,1
22.0961,19.1324,1
22.1241,19.1445,1
22.1522,19.1566,1
22.1802,19.1687,1
22.2082,19.1808,1
22.2362,19.1929,1
22.2643,19.205,1
22.2923,19.2171,1
22.3203,19.2292,1
22.3483,19.2413,1
22.3764,19.2533,1
22.4044,19.2654,1
22.4324,19.2774,1
22.4605,19.2895,1
22.4885,19.3015,1
22.5165,19.3135,1
22.5445,19.3255,1
22.5726,19.3375,1
22.6006,19.3495,1
22.6286,19.3615,1
22.6567,19.3735,1
22.6847,19.3855,1
22.7127,19.3975,1
22.7407,19.4094,1
22.7688,19.4214,1
22.7968,19.4333,1
22.8248,19.4453,1
22.8529,19.4572,1
22.8809,19.4692,1
22.9089,19.4811,1
22.9369,19.493,1
22.965,19.5049,1
22.993,19.5168,1
23.021,19.5287,1
23.049,19.5406,1
23.0771,19.5524,1
23.1051,19.5643,1
23.1331,19.5762,1
23.1612,19.588,1
23.1892,19.5999,1
23.2172,19.6117,1
23.2452,19.6236,1
23.2733,19.6354,1
23.3013,19.6472,1
23.3293,19.659,1
23.3574,19.6708,1
23.3854,19.6826,1
23.4134,19.6944,1
23.4414,19.7062,1
23.4695,19.718,1
23.4975,19.7297,1
23.5255,19.7415,1
23.5536,19.7533,1
23.5816,19.765,1
23.6096,19.7768,1
23.6376,19.7885,1
23.6657,19.8002,1
23.6937,19.8119,1
23.7217,19.8237,1
23.7497,19.8354,1
23.7778,19.8471,1
23.8058,19.8588,1
23.8338,19.8704,1
23.8619,19.8821,1
23.8899,19.8938,1
23.9179,19.9055,1
23.9459,19.9171,1
23.974,19.9288,1
24.002,19.9404,1
24.03,19.9521,1
24.0581,19.9637,1
24.0861,19.9753,1
24.1141,19.9869,1
24.1421,19.9986,1
24.1702,20.0102,1
24.1982,20.0218,1
24.2262,20.0334,1
24.2543,20.0449,1
24.2823,20.0565,1
24.3103,20.0681,1
24.3383,20.0797,1
24.3664,20.0912,1
24.3944,20.1028,1
24.4224,20.1143,1
24.4505,20.1258,1
24.4785,20.1374,1
24.5065,20.1489,1
24.5345,20.1604,1
24.5626,20.1719,1
24.5906,20.1834,1
24.6186,20.1949,1
24.6466,20.2064,1
24.6747,20.2179,1
24.7027,20.2294,1
24.7307,20.2409,1
24.7588,20.2523,1
24.7868,20.2638,1
24.8148,20.2753,1
24.8428,20.2867,1
24.8709,20.2981,1
24.8989,20.3096,1
24.9269,20.321,1
24.955,20.3324,1
24.983,20.3438,1
25.011,20.3552,1
25.039,20.3666,1
25.0671,20.378,1
25.0951,20.3894,1
25.1231,20.4008,1
25.1512,20.4122,1
25.1792,20.4236,1
25.2072,20.4349,1
25.2352,20.4463,1
25.2633,20.4576,1
25.2913,20.469,1
25.3193,20.4803,1
25.3473,20.4917,1
25.3754,20.503,1
25.4034,20.5143,1
25.4314,20.5256,1
25.4595,20.5369,1
25.4875,20.5482,1
25.5155,20.5595,1
25.5435,20.5708,1
25.5716,20.5821,1
25.5996,20.5934,1
25.6276,20.6046,1
25.6557,20.6159,1
25.6837,20.6272,1
25.7117,20.6384,1
25.7397,20.6497,1
25.7678,20.6609,1
25.7958,20.6721,1
25.8238,20.6834,1
25.8519,20.6946,1
25.8799,20.7058,1
25.9079,20.717,1
25.9359,20.7282,1
25.964,20.7394,1
25.992,20.7506,1
26.02,20.7618,1
26.048,20.773,1
26.0761,20.7841,1
26.1041,20.7953,1
26.1321,20.8065,1
26.1602,20.8176,1
26.1882,20.8288,1
26.2162,20.8399,1
26.2442,20.851,1
26.2723,20.8622,1
26.3003,20.8733,1
26.3283,20.8844,1
26.3564,20.8955,1
26.3844,20.9066,1
26.4124,20.9177,1
26.4404,20.9288,1
26.4685,20.9399,1
26.4965,20.951,1
26.5245,20.9621,1
26.5526,20.9732,1
26.5806,20.9842,1
26.6086,20.9953,1
26.6366,21.0063,1
26.6647,21.0174,1
26.6927,21.0284,1
26.7207,21.0395,1
26.7487,21.0505,1
26.7768,21.0615,1
26.8048,21.0725,1
26.8328,21.0836,1
26.8609,21.0946,1
26.8889,21.1056,1
26.9169,21.1166,1
26.9449,21.1276,1
26.973,21.1385,1
27.001,21.1495,1
27.029,21.1605,1
27.0571,21.1715,1
27.0851,21.1824,1
27.1131,21.1934,1
27.1411,21.2043,1
27.1692,21.2153,1
27.1972,21.2262,1
27.2252,21.2372,1
27.2533,21.2481,1
27.2813,21.259,1
27.3093,21.2699,1
27.3373,21.2808,1
27.3654,21.2918,1
27.3934,21.3027,1
27.4214,21.3135,1
27.4494,21.3244,1
27.4775,21.3353,1
27.5055,21.3462,1
27.5335,21.3571,1
27.5616,21.3679,1
27.5896,21.3788,1
27.6176,21.3897,1
27.6456,21.4005,1
27.6737,21.4114,1
27.7017,21.4222,1
27.7297,21.433,1
27.7578,21.4439,1
27.7858,21.4547,1
27.8138,21.4655,1
27.8418,21.4763,1
27.8699,21.4871,1
27.8979,21.4979,1
27.9259,21.5087,1
27.954,21.5195,1
27.982,21.5303,1
28.01,21.5411,1
28.038,21.5518,1
28.0661,21.5626,1
28.0941,21.5734,1
28.1221,21.5841,1
28.1502,21.5949,1
28.1782,21.6056,1
28.2062,21.6164,1
28.2342,21.6271,1
28.2623,21.6379,1
28.2903,21.6486,1
28.3183,21.6593,1
28.3463,21.67,1
28.3744,21.6807,1
28.4024,21.6914,1
28.4304,21.7021,1
28.4585,21.7128,1
28.4865,21.7235,1
28.5145,21.7342,1
28.5425,21.7449,1
28.5706,21.7556,1
28.5986,21.7662,1
28.6266,21.7769,1
28.6547,21.7875,1
28.6827,21.7982,1
28.7107,21.8088,1
28.7387,21.8195,1
28.7668,21.8301,1
28.7948,21.8408,1
28.8228,21.8514,1
28.8509,21.862,1
28.8789,21.8726,1
28.9069,21.8832,1
28.9349,21.8938,1
28.963,21.9044,1
28.991,21.915,1
29.019,21.9256,1
29.047,21.9362,1
29.0751,21.9468,1
29.1031,21.9574,1
29.1311,21.9679,1
29.1592,21.9785,1
29.1872,21.9891,1
29.2152,21.9996,1
29.2432,22.0102,1
29.2713,22.0207,1
29.2993,22.0313,1
29.3273,22.0418,1
29.3554,22.0523,1
29.3834,22.0629,1
29.4114,22.0734,1
29.4394,22.0839,1
29.4675,22.0944,1
29.4955,22.1049,1
29.5235,22.1154,1
29.5516,22.1259,1
29.5796,22.1364,1
29.6076,22.1469,1
