Emittance,X-ray/UV,Initial emittance,Mean Theta,Critical Energy,Beam Energy,Beam Spread,Beam Radius,X-ray Percentage,X-ray Critical Energy,X-ray Mean Theta,No. X-ray Photons,No. UV Photons,No. Other Photons,Total no. Photons,Total Charge,Set Emittance,Set Radius
11.303318506423775,0.4349282281773901,2.141824568159765,0.0002823048998624924,521.6105248539649,3.4073768217544536,6.86,8.536047951103658,0.26078852479578457,1745.0179829688987,0.00013272550390685468,246974566.4319448,567851315.300725,132204155.8249372,947030037.5576069,1.2005373078568381e-10,2.1404,5.0
10.008986030837118,0.3691427763354803,2.2042049944100777,0.0002426394718282206,414.25002227297824,3.3998333843167354,6.74,8.326611298735665,0.22906611201087626,1514.405536929736,0.00010273437379125597,184500124.61867905,499806948.54774475,121137795.99832998,805444869.1647537,1.2048998086016062e-10,2.2105,0.5
2.9436090617840547,0.30059260526339,2.2116389446703564,0.00016467943189214822,320.4575655573443,3.351107240019184,6.47,3.983695581437626,0.1930788886174303,1310.0651768200646,5.790443512284253e-05,128119391.50415638,426222698.964579,109217723.97588906,663559814.4446245,1.205110702974627e-10,2.2105,1.0
3.2024180148091843,0.35122230541348365,2.212418589460377,0.000200688907776755,395.79601781236266,3.3490701451299087,6.5,3.9614673590219667,0.21974231332496588,1495.8609789091668,8.172687719943405e-05,168595041.2238717,480023730.34192616,118620995.19930845,767239766.7651062,1.2051107029746267e-10,2.2105,2.0
5.004697186303465,0.39856893287606043,2.2038292848379375,0.00023970395241954508,468.7644636924673,3.3634725049384206,6.57,5.13154400911471,0.24341470312243452,1651.6350381467535,0.00010773137593179183,212421236.99994218,532959845.7840591,127291086.46083264,872672169.244834,1.205098651867597e-10,2.2105,3.0
7.6695321125959,0.42298783969145975,2.2135712941346237,0.0002642121995207775,506.88255653056075,3.3812188307822404,6.67,6.725924595703569,0.25515302625978253,1725.7178828456224,0.00012267971227099015,236384919.22151166,558845661.8373191,131213140.52508554,926443721.5839164,1.2044237898739313e-10,2.2105,4.0
11.755793558417787,0.43748763141740665,2.212163476909976,0.000284567031594161,525.4098574538123,3.409180940952582,6.85,8.739813411760327,0.26197567998926835,1751.7156534292135,0.00013398923792552403,249347065.23932713,569952262.265045,132495378.2085454,951794705.7129176,1.1997841136674787e-10,2.2105,5.0
10.536581243803269,0.37346813356804365,2.2770905066420446,0.0002473187662110029,420.3134864117994,3.40352928973664,6.75,8.579667284339198,0.23124032480066867,1526.4977382804068,0.00010543407310371063,188569438.93808135,504914400.9597947,121985689.91112238,815469529.8089985,1.2047792975313088e-10,2.2807,0.5
3.0204306040286966,0.30340063491617475,2.2768818067537926,0.00016676114237804143,323.8242031787774,3.3512530064009645,6.45,4.023328244767157,0.19462422627192957,1316.8683774101971,5.8930948816711654e-05,130666469.01242064,430673024.2951598,110038739.07060777,671378232.3781884,1.205104677421112e-10,2.2807,1.0
3.3183784755019095,0.3541941869954349,2.2867879193925083,0.00020250976300522516,399.6380085344755,3.3503389732672693,6.55,4.042183471405276,0.22128619695792115,1502.7504521342007,8.280497374615453e-05,171813008.8829813,485081390.9184674,119534547.16830967,776428946.9697585,1.205110702974627e-10,2.2807,2.0
5.032672584466414,0.4011658902223698,2.2829706319535954,0.00024019892681172394,473.2593770914423,3.364140297237752,6.52,5.134019294558994,0.24468038192026487,1661.5273238219816,0.00010819010879537917,214922592.0381534,535744930.6545477,127713450.68746644,878380973.3801676,1.205086600760567e-10,2.2807,3.0
7.904571458034788,0.42511421051736403,2.277496802800325,0.0002661091029432333,510.09245584279984,3.381795558454338,6.7,6.85456671297497,0.2561593185103097,1731.5362815084404,0.00012378560612663273,238954850.20053554,562095654.0354825,131786339.60856089,932836843.844579,1.2043213554641782e-10,2.2807,4.0
12.293692854461144,0.43685556486597305,2.2826090405562356,0.0002857302996141496,523.6896514928262,3.4120972547343014,6.87,8.961865011443738,0.2616878509126595,1746.9844122191225,0.0001343848494565382,248663577.40391716,569212337.9044214,132353820.37362355,950229735.6819621,1.19925386495817e-10,2.2807,5.0
11.10473639245224,0.37525133180286835,2.3498603339484947,0.0002499732218728491,422.26435031252834,3.4058267837412153,6.83,8.825727594889251,0.23214898824983027,1528.8784561707962,0.00010678115071482496,190570893.37939596,507848679.61377156,122479517.78516701,820899090.7783346,1.2047069908891307e-10,2.3509,0.5
3.140326710052371,0.30643066772442357,2.3493094276275057,0.00016913693251862004,327.5763257352697,3.3495848415801155,6.53,4.124160115884251,0.19628316590671932,1324.7709840224527,6.0281542410653604e-05,133525648.66147858,435745056.63238525,110999801.06700607,680270506.3608699,1.205110702974627e-10,2.3509,1.0
3.374240465615429,0.3562848643299278,2.3474655169938528,0.0002039576207712738,402.8551456731879,3.3522275693227286,6.45,4.083162473486804,0.22235946769090814,1510.0020673908539,8.371456429252507e-05,173651015.93738446,487393749.56040716,119902489.5962388,780947255.0940304,1.205110702974627e-10,2.3509,2.0
5.235351618270127,0.4025161332256299,2.3453494856538115,0.00024298168700438716,475.12424427474696,3.3637606943848897,6.59,5.263144373428389,0.24534017812524067,1664.6815930534915,0.00010990538133114213,216790795.94593802,538589085.1346726,128253601.22358495,883633482.3041955,1.205104677421112e-10,2.3509,3.0
8.264816111435968,0.42698394236584203,2.3550554549206386,0.0002681742705581875,513.0162539680877,3.3855933167248033,6.74,7.013270103957492,0.2570392395681749,1737.0337170644782,0.00012508722394886132,240752807.46247506,563845108.8546951,132040426.78927132,936638343.1064415,1.203971873360316e-10,2.3509,4.0
12.568726531821428,0.43883362266767056,2.3482983536584285,0.0002879840907141882,526.2253662978292,3.4119741846236886,6.92,9.102587591460178,0.26261315298680465,1750.5341931199614,0.00013551879605555367,251119481.11781803,572243028.2147985,132870939.98907775,956233449.3216943,1.1983801596985132e-10,2.3509,5.0
11.518999975363558,0.3790073451908234,2.42192470719489,0.00025401140209358456,427.68485746687446,3.408198732672169,6.8,9.056308797492768,0.2340173009416081,1539.9769034737797,0.00010920370366017503,194144249.48987472,512244028.9175044,123226663.34565616,829614941.7530352,1.2044960965161097e-10,2.4211,0.5
3.209310114124727,0.309625017494369,2.4216018671724466,0.00017134241399109808,331.68653332935327,3.352184807370833,6.44,4.164089259141276,0.19802332530187655,1333.8370810747003,6.14703139401916e-05,136191206.6658778,439858535.23078,111703614.72565515,687753356.6223129,1.205110702974627e-10,2.4211,1.0
3.4725689158719155,0.35964017866375586,2.426614082804426,0.0002052245979197016,407.37273709372107,3.3507957419002015,6.6,4.142514381082712,0.22407787910799365,1518.626042143038,8.450031384304508e-05,177168222.91693217,492626334.39678854,120860118.73998499,790654676.0537058,1.2051107029746267e-10,2.4211,2.0
5.339951491142808,0.40518154249533767,2.4165248013527494,0.00024447887005864716,479.0823099897876,3.365882450451593,6.62,5.318805664279147,0.2466409174753151,1671.998382129528,0.00011075070265547418,219771362.78395355,542402206.7502801,128884431.03434277,891058000.5685765,1.2050926263140824e-10,2.4211,3.0
8.403814194994649,0.42741093695125326,2.4266349471767494,0.00026832506886463283,512.7083431931482,3.387958090447045,6.68,7.080045977219697,0.257260930234381,1734.258147172587,0.0001250403280359611,241420849.41171968,564844809.8539276,132162298.65151468,938427957.9171621,1.2039055922716525e-10,2.4211,4.0
12.962806207756849,0.44002806527492566,2.421259976533481,0.0002893004655150826,527.9578574437669,3.415347988330562,6.93,9.283031232661871,0.26316930260799104,1753.4440899922279,0.0001361230996752844,252045870.05696246,572794987.2912911,132891931.23766412,957732788.5859177,1.1978017065610858e-10,2.4211,5.0
12.097915116017123,0.38285271438616447,2.48894317574555,0.00025777993965710687,433.0364822422728,3.4119439363524635,6.83,9.27827333490275,0.2359319928340669,1550.2526684567908,0.00011135899055419132,197744671.97922552,516503251.90007746,123894752.7618474,838142676.6411502,1.2043213554641787e-10,2.4912,0.5
3.2986184944618113,0.31331292808106453,2.4927118343705126,0.00017380800562065408,336.3207475333474,3.3522989749881615,6.53,4.222620652214657,0.2000235535928072,1343.6119219388688,6.283657400694066e-05,139614196.35093597,445606241.67673385,112768343.00934726,697988781.0370171,1.2051107029746272e-10,2.4912,1.0
3.559099303410599,0.36144021162537787,2.4962892797606653,0.00020697364796422833,409.927136058952,3.3531915806404125,6.49,4.196784541361687,0.2250120961662963,1523.6299420936155,8.544530177498965e-05,179138448.2661485,495624013.33424467,121365619.14845392,796128080.7488471,1.2051107029746272e-10,2.4912,2.0
